Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-43,-54,200,-10,0,99,28.93,33.78
"3D660C","815E",-51,-62,192,-10,0,99,28.97,33.81
"3D660C","815E",-51,-61,202,-10,0,99,29.10,33.77
"3D660C","815E",-55,-62,202,-10,0,99,29.25,33.65
"3D660C","815E",-55,-62,202,-10,0,99,29.28,33.51
"3D660C","815E",-55,-63,192,-10,0,99,29.26,33.44
"3D660C","815E",-53,-63,189,-10,0,99,29.26,33.69
"3D660C","815E",-53,-64,182,-10,0,99,29.08,33.91
"3D660C","815E",-53,-63,189,-10,0,99,28.90,33.94
"3D660C","815E",-48,-62,194,-10,0,99,28.85,33.86
"3D660C","815E",-48,-61,202,-10,0,99,28.92,33.82
"3D660C","815E",-50,-60,192,-10,0,99,28.85,33.97
"3D660C","815E",-52,-60,189,-10,0,99,28.83,34.16
"3D660C","815E",-52,-63,167,-10,0,99,28.80,34.30
"3D660C","815E",-52,-63,167,-10,0,99,28.73,34.36
"3D660C","815E",-52,-63,164,-10,0,99,28.77,34.31
"3D660C","815E",-48,-62,162,-10,0,99,28.73,34.35
"3D660C","815E",-51,-62,162,-10,0,99,28.63,34.33
"3D660C","815E",-51,-61,159,-11,0,99,28.55,34.42
"3D660C","815E",-51,-61,162,-11,0,99,28.62,34.45
"3D660C","815E",-51,-61,162,-11,0,99,28.74,34.31
"3D660C","815E",-51,-63,177,-10,0,99,28.79,34.26
"3D660C","815E",-51,-62,187,-10,0,99,28.78,34.30
"3D660C","815E",-51,-62,197,-10,0,99,28.80,34.40
"3D660C","815E",-51,-61,200,-10,0,99,28.79,34.39
"3D660C","815E",-49,-60,204,-10,0,99,28.82,34.44
"3D660C","815E",-49,-61,200,-10,0,99,28.79,34.58
"3D660C","815E",-54,-62,197,-10,0,99,28.67,34.58
"3D660C","815E",-50,-62,187,-10,0,99,28.59,34.57
"3D660C","815E",-52,-62,184,-10,0,99,28.59,34.59
"3D660C","815E",-55,-62,179,-10,0,99,28.57,34.83
"3D660C","815E",-52,-64,167,-10,0,99,28.57,34.76
"3D660C","815E",-54,-64,164,-10,0,99,28.47,34.74
"3D660C","815E",-54,-64,169,-10,0,99,28.58,34.90
"3D660C","815E",-54,-64,169,-10,0,99,28.57,34.85
"3D660C","815E",-51,-64,169,-10,0,99,28.60,34.89
"3D660C","815E",-51,-64,169,-10,0,99,28.60,34.84
"3D660C","815E",-51,-64,169,-10,0,99,28.56,34.81
"3D660C","815E",-49,-62,175,-10,0,99,28.57,34.85
"3D660C","815E",-51,-61,179,-10,0,99,28.49,35.02
"3D660C","815E",-53,-61,182,-10,0,99,28.45,35.07
"3D660C","815E",-53,-62,179,-10,0,99,28.36,35.23
"3D660C","815E",-51,-62,184,-10,0,99,28.31,35.22
"3D660C","815E",-49,-61,189,-10,0,99,28.31,35.29
"3D660C","815E",-49,-60,182,-10,0,99,28.31,35.28
"3D660C","815E",-49,-60,175,-11,0,99,28.32,35.19
"3D660C","815E",-49,-60,164,-11,0,99,28.31,35.13
"3D660C","815E",-49,-60,164,-11,0,99,28.32,35.01
"3D660C","815E",-51,-60,187,-10,0,99,28.38,34.97
"3D660C","815E",-51,-60,197,-10,0,99,28.38,34.85
"3D660C","815E",-49,-61,204,-10,0,99,28.41,34.89
"3D660C","815E",-49,-61,204,-10,0,99,28.47,35.02
"3D660C","815E",-54,-61,202,-10,0,99,28.46,35.00
"3D660C","815E",-50,-62,187,-10,0,99,28.57,34.93
"3D660C","815E",-56,-62,175,-10,0,99,28.59,34.86
"3D660C","815E",-51,-62,172,-10,0,99,28.44,34.80
"3D660C","815E",-51,-62,172,-10,0,99,28.34,34.68
"3D660C","815E",-53,-64,167,-11,0,99,28.22,34.73
"3D660C","815E",-51,-62,164,-11,0,99,28.26,34.77
"3D660C","815E",-56,-63,164,-11,0,99,28.27,34.66
"3D660C","815E",-50,-63,164,-11,0,99,28.15,34.63
"3D660C","815E",-50,-62,200,-9,0,99,28.11,34.76
"3D660C","815E",-50,-62,202,-10,0,99,28.13,34.79
"3D660C","815E",-48,-60,197,-10,0,99,28.05,34.77
"3D660C","815E",-48,-60,194,-9,0,99,28.01,34.85
"3D660C","815E",-51,-60,189,-10,0,99,27.99,34.78
"3D660C","815E",-51,-60,189,-10,0,99,27.96,34.79
"3D660C","815E",-51,-60,175,-9,0,99,27.93,34.85
"3D660C","815E",-49,-61,187,-10,0,99,27.94,35.10
"3D660C","815E",-49,-60,187,-10,0,99,28.01,35.14
"3D660C","815E",-49,-59,200,-10,0,99,27.96,35.01
"3D660C","815E",-49,-60,202,-10,0,99,27.88,34.98
"3D660C","815E",-49,-60,200,-10,0,99,27.84,34.97
"3D660C","815E",-49,-61,192,-9,0,99,27.78,35.05
"3D660C","815E",-52,-62,184,-10,0,99,27.80,35.10
"3D660C","815E",-48,-60,164,-11,0,99,27.78,35.17
"3D660C","815E",-52,-60,164,-11,0,99,27.76,35.50
"3D660C","815E",-48,-59,167,-10,0,99,27.77,35.58
"3D660C","815E",-48,-59,167,-10,0,99,27.80,35.43
"3D660C","815E",-48,-59,164,-10,0,99,27.82,35.17
"3D660C","815E",-50,-60,167,-11,0,99,27.88,35.10
"3D660C","815E",-50,-60,164,-10,0,99,27.90,35.16
"3D660C","815E",-48,-61,157,-11,0,99,27.93,35.14
"3D660C","815E",-50,-61,157,-11,0,99,27.87,35.12
"3D660C","815E",-50,-61,154,-11,0,99,27.88,35.16
"3D660C","815E",-48,-60,154,-11,0,99,27.88,35.21
"3D660C","815E",-48,-60,159,-11,0,99,27.87,35.17
"3D660C","815E",-48,-59,162,-11,0,99,27.90,35.15
"3D660C","815E",-48,-59,167,-11,0,99,27.91,35.28
"3D660C","815E",-51,-60,172,-11,0,99,27.87,35.48
"3D660C","815E",-49,-60,175,-10,0,99,27.87,35.61
"3D660C","815E",-49,-61,182,-10,0,99,27.89,35.69
"3D660C","815E",-49,-60,187,-10,0,99,27.88,35.81
"3D660C","815E",-49,-60,189,-10,0,99,27.87,35.90
"3D660C","815E",-49,-60,189,-10,0,99,27.90,35.89
"3D660C","815E",-49,-61,192,-10,0,99,27.92,35.84
"3D660C","815E",-49,-60,187,-10,0,99,28.02,35.76
"3D660C","815E",-49,-59,177,-10,0,99,28.04,35.68
"3D660C","815E",-47,-59,179,-10,0,99,28.03,35.78
"3D660C","815E",-47,-59,182,-10,0,99,27.97,35.78
"3D660C","815E",-47,-59,182,-10,0,99,27.84,35.70
