Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-54,-66,142,-10,0,99,40.42,23.10
"3D660C","815E",-63,-76,97,-13,0,99,40.69,23.39
"3D660C","815E",-61,-74,125,-13,0,99,41.33,23.14
"3D660C","815E",-58,-73,114,-13,0,99,41.76,22.74
"3D660C","815E",-58,-72,104,-13,0,99,42.42,22.57
"3D660C","815E",-61,-73,104,-13,0,99,43.01,22.05
"3D660C","815E",-58,-72,104,-13,0,99,43.48,21.62
"3D660C","815E",-57,-72,107,-13,0,99,43.79,21.32
"3D660C","815E",-57,-70,112,-13,0,99,43.95,21.48
"3D660C","815E",-57,-70,117,-12,0,99,44.11,21.26
"3D660C","815E",-57,-70,122,-12,0,99,44.39,20.79
"3D660C","815E",-49,-66,150,-12,0,99,42.96,21.12
"3D660C","815E",-51,-65,167,-13,0,99,42.16,21.77
"3D660C","815E",-58,-67,154,-11,0,99,41.44,22.22
"3D660C","815E",-61,-69,134,-11,0,99,40.88,23.06
"3D660C","815E",-58,-69,132,-11,0,99,40.27,24.27
"3D660C","815E",-58,-69,134,-10,0,99,39.83,24.94
"3D660C","815E",-58,-69,137,-10,0,99,39.09,26.17
"3D660C","815E",-58,-69,137,-11,0,99,38.19,25.43
"3D660C","815E",-58,-69,132,-11,0,99,37.61,25.60
"3D660C","815E",-58,-69,132,-11,0,99,37.13,26.23
"3D660C","815E",-53,-69,132,-12,0,99,36.65,26.69
"3D660C","815E",-53,-66,137,-11,0,99,36.17,27.42
"3D660C","815E",-53,-65,142,-12,0,99,35.80,27.90
"3D660C","815E",-59,-65,150,-10,0,99,35.41,28.56
