Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-38,-48,207,-10,0,99,46.52,19.44
"3D660C","815E",-38,-48,192,-10,0,99,46.68,19.39
"3D660C","815E",-38,-48,175,-10,0,99,46.67,19.47
"3D660C","815E",-38,-48,169,-10,0,99,46.29,19.31
"3D660C","815E",-36,-48,167,-11,0,99,45.85,19.57
"3D660C","815E",-36,-48,167,-11,0,99,45.94,19.44
"3D660C","815E",-36,-48,167,-11,0,99,45.89,19.28
"3D660C","815E",-36,-48,164,-11,0,99,45.85,19.55
"3D660C","815E",-36,-48,164,-11,0,99,45.66,19.80
"3D660C","815E",-39,-49,167,-11,0,99,45.56,20.01
"3D660C","815E",-39,-49,167,-11,0,99,45.49,20.01
"3D660C","815E",-39,-49,172,-11,0,99,44.44,19.97
"3D660C","815E",-35,-48,192,-10,0,99,44.35,20.05
"3D660C","815E",-35,-47,184,-10,0,99,44.17,20.31
"3D660C","815E",-35,-47,184,-10,0,99,44.11,20.44
"3D660C","815E",-35,-47,175,-11,0,99,44.12,20.59
"3D660C","815E",-38,-47,179,-10,0,99,43.25,20.47
"3D660C","815E",-40,-49,182,-10,0,99,43.41,20.82
"3D660C","815E",-40,-50,175,-10,0,99,43.48,20.96
"3D660C","815E",-38,-50,179,-10,0,99,43.63,20.80
"3D660C","815E",-38,-49,192,-10,0,99,43.48,20.89
"3D660C","815E",-38,-49,197,-10,0,99,43.70,20.83
"3D660C","815E",-38,-49,194,-10,0,99,44.02,20.49
"3D660C","815E",-38,-49,194,-10,0,99,44.19,20.42
"3D660C","815E",-38,-49,200,-10,0,99,44.28,20.53
"3D660C","815E",-38,-49,202,-10,0,99,44.10,20.46
"3D660C","815E",-38,-49,204,-10,0,99,44.14,20.39
"3D660C","815E",-41,-51,200,-8,0,99,43.95,20.33
"3D660C","815E",-38,-49,204,-10,0,99,43.61,20.59
"3D660C","815E",-38,-49,204,-10,0,99,43.42,20.69
"3D660C","815E",-40,-49,175,-10,0,99,42.93,20.69
"3D660C","815E",-38,-50,200,-10,0,99,42.63,20.98
"3D660C","815E",-38,-49,200,-10,0,99,42.90,20.96
"3D660C","815E",-38,-49,175,-9,0,99,43.01,20.85
"3D660C","815E",-41,-50,204,-10,0,99,43.25,20.95
"3D660C","815E",-38,-50,207,-10,0,99,43.41,20.83
"3D660C","815E",-40,-50,175,-10,0,99,42.88,20.84
"3D660C","815E",-40,-50,202,-10,0,99,42.20,21.11
"3D660C","815E",-37,-50,209,-10,0,99,41.37,21.95
"3D660C","815E",-38,-49,194,-10,0,99,40.51,22.23
"3D660C","815E",-38,-49,194,-10,0,99,39.43,22.88
"3D660C","815E",-38,-49,200,-10,0,99,38.83,23.50
"3D660C","815E",-38,-49,187,-10,0,99,38.45,23.90
"3D660C","815E",-38,-48,177,-10,0,99,38.83,23.69
"3D660C","815E",-38,-49,164,-10,0,99,39.21,23.57
"3D660C","815E",-38,-49,169,-11,0,99,39.74,23.34
"3D660C","815E",-38,-48,175,-10,0,99,39.95,23.18
"3D660C","815E",-38,-48,192,-10,0,99,39.58,23.10
"3D660C","815E",-38,-48,197,-10,0,99,38.87,23.38
"3D660C","815E",-38,-48,192,-10,0,99,38.45,23.83
"3D660C","815E",-38,-49,177,-10,0,99,38.58,23.97
"3D660C","815E",-38,-49,192,-10,0,99,38.85,24.09
"3D660C","815E",-38,-49,194,-10,0,99,38.02,24.20
"3D660C","815E",-38,-49,194,-10,0,99,37.29,24.59
"3D660C","815E",-38,-48,187,-10,0,99,36.58,25.42
"3D660C","815E",-38,-48,189,-10,0,99,36.16,26.06
"3D660C","815E",-40,-49,182,-10,0,99,36.19,26.23
"3D660C","815E",-38,-50,179,-11,0,99,36.14,26.41
"3D660C","815E",-38,-50,184,-10,0,99,36.68,26.23
"3D660C","815E",-38,-50,189,-10,0,99,36.88,25.94
"3D660C","815E",-38,-49,194,-10,0,99,37.36,25.71
"3D660C","815E",-36,-48,200,-10,0,99,38.07,25.33
"3D660C","815E",-36,-48,207,-10,0,99,38.65,24.79
"3D660C","815E",-36,-48,204,-10,0,99,39.13,24.28
"3D660C","815E",-36,-48,197,-10,0,99,39.12,24.05
"3D660C","815E",-36,-48,172,-10,0,99,39.36,24.03
"3D660C","815E",-38,-48,175,-10,0,99,38.70,23.96
"3D660C","815E",-38,-49,179,-10,0,99,38.24,24.49
"3D660C","815E",-38,-49,187,-10,0,99,37.55,24.93
"3D660C","815E",-38,-49,187,-10,0,99,37.07,25.33
"3D660C","815E",-38,-49,187,-10,0,99,36.79,25.58
"3D660C","815E",-38,-48,187,-10,0,99,36.64,26.01
"3D660C","815E",-38,-48,179,-10,0,99,36.44,26.12
"3D660C","815E",-35,-47,177,-10,0,99,36.07,26.54
"3D660C","815E",-39,-48,175,-11,0,99,35.81,26.94
"3D660C","815E",-37,-48,169,-11,0,99,36.05,26.89
"3D660C","815E",-37,-48,169,-11,0,99,36.27,26.54
"3D660C","815E",-37,-48,164,-11,0,99,36.27,26.68
"3D660C","815E",-37,-48,164,-11,0,99,36.30,26.61
"3D660C","815E",-37,-48,164,-11,0,99,36.56,26.38
"3D660C","815E",-39,-48,164,-11,0,99,36.78,26.22
"3D660C","815E",-39,-50,169,-11,0,99,36.70,26.17
"3D660C","815E",-39,-49,175,-10,0,99,36.11,26.20
"3D660C","815E",-39,-49,175,-10,0,99,35.88,26.65
"3D660C","815E",-39,-50,172,-10,0,99,35.53,26.88
"3D660C","815E",-37,-49,169,-10,0,99,35.12,27.29
"3D660C","815E",-41,-50,172,-10,0,99,35.01,27.29
"3D660C","815E",-38,-49,177,-10,0,99,35.04,27.39
"3D660C","815E",-38,-49,179,-10,0,99,34.71,27.45
"3D660C","815E",-35,-48,182,-10,0,99,34.39,27.76
"3D660C","815E",-35,-48,182,-10,0,99,34.10,28.14
"3D660C","815E",-37,-47,184,-10,0,99,34.02,28.51
"3D660C","815E",-37,-47,192,-11,0,99,34.03,28.65
"3D660C","815E",-39,-47,184,-11,0,99,33.85,28.51
"3D660C","815E",-39,-48,182,-11,0,99,33.74,28.84
"3D660C","815E",-39,-49,177,-10,0,99,33.34,28.83
"3D660C","815E",-39,-49,182,-10,0,99,33.16,29.22
"3D660C","815E",-39,-49,187,-10,0,99,33.24,29.37
"3D660C","815E",-37,-48,197,-10,0,99,33.04,29.40
"3D660C","815E",-37,-48,200,-10,0,99,32.89,29.54
"3D660C","815E",-37,-48,197,-10,0,99,32.86,29.76
