Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-45,-57,184,-10,0,99,43.27,20.91
"3D660C","815E",-50,-60,194,-10,0,99,43.46,20.89
"3D660C","815E",-50,-60,197,-10,0,99,43.68,20.86
"3D660C","815E",-48,-60,200,-10,0,99,44.16,20.45
"3D660C","815E",-50,-60,184,-10,0,99,44.51,20.27
"3D660C","815E",-53,-61,169,-10,0,99,44.69,20.22
"3D660C","815E",-57,-62,167,-10,0,99,45.19,20.26
"3D660C","815E",-52,-63,159,-11,0,99,45.46,20.04
"3D660C","815E",-52,-63,159,-11,0,99,45.32,20.02
"3D660C","815E",-54,-65,164,-10,0,99,44.89,20.25
"3D660C","815E",-54,-65,164,-10,0,99,45.44,20.28
"3D660C","815E",-54,-65,167,-10,0,99,46.09,19.98
"3D660C","815E",-54,-65,169,-10,0,99,46.45,20.01
"3D660C","815E",-54,-65,172,-10,0,99,47.10,19.40
"3D660C","815E",-51,-64,175,-10,0,99,47.09,19.12
"3D660C","815E",-52,-63,167,-10,0,99,47.22,19.21
"3D660C","815E",-52,-64,169,-11,0,99,47.13,19.28
"3D660C","815E",-52,-64,167,-11,0,99,47.02,19.31
"3D660C","815E",-52,-64,164,-11,0,99,47.22,19.31
"3D660C","815E",-52,-64,164,-11,0,99,47.72,19.15
"3D660C","815E",-50,-62,167,-10,0,99,48.07,18.88
"3D660C","815E",-50,-62,169,-10,0,99,48.43,18.72
"3D660C","815E",-50,-61,175,-10,0,99,48.11,18.53
"3D660C","815E",-48,-60,182,-10,0,99,47.94,18.67
"3D660C","815E",-48,-60,184,-10,0,99,48.02,18.63
"3D660C","815E",-51,-61,177,-10,0,99,48.23,18.69
"3D660C","815E",-51,-62,175,-10,0,99,48.65,18.53
"3D660C","815E",-49,-61,172,-10,0,99,48.77,18.46
"3D660C","815E",-49,-61,167,-10,0,99,48.75,18.33
"3D660C","815E",-49,-61,167,-10,0,99,49.16,18.29
"3D660C","815E",-49,-59,164,-10,0,99,49.08,18.26
"3D660C","815E",-46,-57,162,-10,0,99,49.16,18.18
"3D660C","815E",-48,-57,167,-10,0,99,49.51,18.03
"3D660C","815E",-48,-57,172,-10,0,99,48.93,18.05
"3D660C","815E",-51,-58,179,-10,0,99,47.63,18.39
"3D660C","815E",-49,-60,187,-10,0,99,47.51,18.89
"3D660C","815E",-49,-60,187,-10,0,99,46.61,18.92
"3D660C","815E",-49,-59,187,-10,0,99,46.48,19.15
"3D660C","815E",-49,-59,187,-10,0,99,45.59,19.09
"3D660C","815E",-51,-60,182,-10,0,99,44.43,19.55
"3D660C","815E",-49,-61,177,-10,0,99,43.25,20.34
"3D660C","815E",-51,-61,172,-10,0,99,42.43,20.71
"3D660C","815E",-51,-61,169,-10,0,99,41.97,21.00
"3D660C","815E",-49,-61,164,-10,0,99,41.12,21.55
"3D660C","815E",-49,-61,164,-10,0,99,40.04,21.96
"3D660C","815E",-49,-60,167,-10,0,99,40.45,22.42
"3D660C","815E",-49,-60,175,-10,0,99,39.89,22.50
"3D660C","815E",-49,-60,182,-10,0,99,38.92,22.73
"3D660C","815E",-49,-61,182,-10,0,99,38.91,23.25
"3D660C","815E",-49,-61,184,-10,0,99,38.38,23.48
"3D660C","815E",-49,-60,187,-10,0,99,39.15,23.54
"3D660C","815E",-49,-59,184,-10,0,99,39.79,23.20
"3D660C","815E",-49,-59,182,-10,0,99,40.01,22.96
"3D660C","815E",-49,-60,169,-10,0,99,40.59,22.45
"3D660C","815E",-46,-59,162,-10,0,99,40.85,22.21
"3D660C","815E",-46,-58,164,-10,0,99,41.61,21.66
"3D660C","815E",-46,-57,169,-10,0,99,42.16,21.51
"3D660C","815E",-48,-58,169,-10,0,99,43.06,21.13
"3D660C","815E",-48,-57,182,-10,0,99,43.43,20.70
"3D660C","815E",-48,-59,189,-10,0,99,43.64,20.36
"3D660C","815E",-48,-58,184,-10,0,99,44.23,20.22
"3D660C","815E",-50,-58,177,-10,0,99,43.98,19.99
"3D660C","815E",-50,-59,175,-10,0,99,42.98,20.35
"3D660C","815E",-50,-59,167,-10,0,99,42.33,20.70
"3D660C","815E",-52,-61,164,-10,0,99,42.41,20.92
"3D660C","815E",-48,-60,159,-10,0,99,42.33,21.15
"3D660C","815E",-51,-61,159,-10,0,99,42.56,21.19
"3D660C","815E",-48,-60,159,-10,0,99,42.79,20.96
"3D660C","815E",-51,-60,157,-10,0,99,43.22,20.90
"3D660C","815E",-47,-59,179,-10,0,99,43.38,20.83
"3D660C","815E",-47,-59,189,-10,0,99,43.77,20.48
"3D660C","815E",-47,-58,192,-10,0,99,44.67,20.29
"3D660C","815E",-47,-58,197,-10,0,99,45.39,19.88
"3D660C","815E",-49,-58,192,-10,0,99,45.95,19.53
"3D660C","815E",-49,-58,187,-10,0,99,46.22,19.33
"3D660C","815E",-47,-59,167,-11,0,99,46.48,19.17
"3D660C","815E",-47,-57,175,-9,0,99,46.80,19.05
"3D660C","815E",-47,-57,200,-9,0,99,46.76,18.96
"3D660C","815E",-45,-57,204,-10,0,99,46.57,19.08
"3D660C","815E",-53,-58,204,-9,0,99,47.04,19.09
"3D660C","815E",-48,-60,204,-10,0,99,47.23,18.89
"3D660C","815E",-48,-59,209,-10,0,99,47.58,18.72
"3D660C","815E",-48,-59,175,-10,0,99,47.78,18.49
"3D660C","815E",-50,-59,194,-10,0,99,48.13,18.34
"3D660C","815E",-53,-61,200,-9,0,99,48.42,18.30
"3D660C","815E",-51,-61,192,-9,0,99,48.38,18.24
"3D660C","815E",-49,-61,192,-10,0,99,48.17,18.26
"3D660C","815E",-49,-60,175,-9,0,99,48.06,18.20
"3D660C","815E",-51,-60,202,-10,0,99,47.80,18.25
"3D660C","815E",-45,-59,202,-10,0,99,47.47,18.43
"3D660C","815E",-45,-59,202,-10,0,99,47.78,18.47
"3D660C","815E",-47,-58,204,-10,0,99,47.46,18.50
"3D660C","815E",-47,-58,202,-10,0,99,47.51,18.44
"3D660C","815E",-49,-60,192,-10,0,99,47.43,18.50
"3D660C","815E",-49,-60,192,-10,0,99,47.17,18.48
"3D660C","815E",-46,-59,184,-10,0,99,47.01,18.54
"3D660C","815E",-51,-59,184,-10,0,99,46.71,18.63
"3D660C","815E",-50,-58,179,-10,0,99,46.94,18.68
"3D660C","815E",-53,-59,177,-10,0,99,47.49,18.55
"3D660C","815E",-53,-62,169,-10,0,99,47.68,18.41
"3D660C","815E",-53,-62,169,-10,0,99,48.20,18.21
