Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-55,-66,129,-12,0,99,49.43,18.06
"3D660C","815E",-55,-63,162,-11,0,99,49.48,17.94
"3D660C","815E",-51,-63,157,-10,0,99,49.51,17.89
"3D660C","815E",-51,-63,150,-10,0,99,49.98,17.90
"3D660C","815E",-51,-62,152,-10,0,99,50.32,17.69
"3D660C","815E",-49,-62,147,-11,0,99,50.30,17.66
"3D660C","815E",-49,-62,142,-11,0,99,50.27,17.58
"3D660C","815E",-49,-60,154,-12,0,99,49.64,17.74
"3D660C","815E",-49,-60,157,-11,0,99,49.99,17.78
"3D660C","815E",-49,-60,159,-11,0,99,50.13,17.73
"3D660C","815E",-52,-61,157,-10,0,99,50.23,17.76
"3D660C","815E",-52,-61,157,-10,0,99,50.38,17.73
"3D660C","815E",-52,-62,152,-10,0,99,50.61,17.72
"3D660C","815E",-48,-61,144,-11,0,99,51.02,17.59
"3D660C","815E",-48,-61,147,-11,0,99,51.32,17.51
"3D660C","815E",-48,-60,144,-12,0,99,51.60,17.41
"3D660C","815E",-48,-60,144,-13,0,99,51.95,17.31
"3D660C","815E",-50,-61,150,-9,0,99,51.74,17.07
"3D660C","815E",-50,-62,157,-11,0,99,51.76,17.16
"3D660C","815E",-50,-61,119,-9,0,99,51.92,17.07
"3D660C","815E",-50,-61,144,-10,0,99,51.58,17.19
"3D660C","815E",-48,-61,150,-11,0,99,51.58,17.21
"3D660C","815E",-48,-60,142,-11,0,99,51.92,17.20
"3D660C","815E",-50,-62,139,-10,0,99,51.76,17.11
"3D660C","815E",-48,-60,150,-11,0,99,51.54,17.09
"3D660C","815E",-51,-61,119,-10,0,99,51.65,17.23
"3D660C","815E",-51,-61,139,-10,0,99,50.89,17.31
"3D660C","815E",-49,-61,142,-10,0,99,51.23,17.35
"3D660C","815E",-49,-61,150,-11,0,99,51.51,17.24
"3D660C","815E",-51,-62,144,-11,0,99,51.56,17.19
"3D660C","815E",-49,-61,150,-11,0,99,51.43,17.14
"3D660C","815E",-49,-61,150,-11,0,99,51.73,17.21
"3D660C","815E",-49,-61,152,-11,0,99,51.92,17.23
"3D660C","815E",-49,-61,152,-11,0,99,51.95,17.11
"3D660C","815E",-51,-61,157,-11,0,99,51.17,17.24
"3D660C","815E",-51,-61,154,-11,0,99,50.42,17.49
"3D660C","815E",-51,-61,154,-11,0,99,50.14,17.72
"3D660C","815E",-51,-61,152,-10,0,99,50.09,17.66
"3D660C","815E",-51,-61,150,-10,0,99,49.71,17.65
"3D660C","815E",-49,-61,147,-10,0,99,49.33,17.92
"3D660C","815E",-49,-61,147,-11,0,99,49.07,17.89
"3D660C","815E",-49,-61,144,-11,0,99,48.66,18.00
"3D660C","815E",-49,-61,142,-11,0,99,48.58,18.10
"3D660C","815E",-49,-61,142,-11,0,99,48.26,18.26
"3D660C","815E",-49,-61,147,-12,0,99,48.48,18.21
"3D660C","815E",-49,-60,150,-12,0,99,48.11,18.30
"3D660C","815E",-49,-60,144,-12,0,99,47.66,18.41
"3D660C","815E",-49,-60,144,-12,0,99,47.57,18.59
"3D660C","815E",-47,-60,144,-12,0,99,47.36,18.64
"3D660C","815E",-47,-60,152,-12,0,99,47.17,18.73
"3D660C","815E",-47,-60,154,-12,0,99,46.83,18.86
"3D660C","815E",-50,-60,154,-11,0,99,47.17,18.91
"3D660C","815E",-50,-61,152,-11,0,99,46.80,18.97
"3D660C","815E",-48,-61,147,-11,0,99,46.49,19.07
"3D660C","815E",-48,-61,137,-12,0,99,46.93,19.08
"3D660C","815E",-48,-61,134,-12,0,99,46.79,18.96
"3D660C","815E",-48,-61,139,-13,0,99,47.44,18.97
"3D660C","815E",-48,-61,139,-13,0,99,47.95,18.75
"3D660C","815E",-51,-62,137,-13,0,99,47.98,18.61
"3D660C","815E",-47,-62,139,-12,0,99,48.40,18.50
"3D660C","815E",-47,-61,144,-12,0,99,48.49,18.43
"3D660C","815E",-47,-61,147,-12,0,99,48.90,18.32
"3D660C","815E",-47,-61,150,-12,0,99,48.79,18.29
"3D660C","815E",-49,-61,150,-13,0,99,48.68,18.26
"3D660C","815E",-47,-61,144,-12,0,99,48.60,18.34
"3D660C","815E",-47,-61,147,-12,0,99,48.38,18.39
"3D660C","815E",-47,-60,150,-12,0,99,48.56,18.49
"3D660C","815E",-47,-61,150,-13,0,99,48.35,18.46
"3D660C","815E",-47,-61,144,-13,0,99,48.60,18.47
"3D660C","815E",-47,-61,142,-13,0,99,48.98,18.42
"3D660C","815E",-47,-61,144,-13,0,99,49.41,18.28
"3D660C","815E",-47,-61,147,-13,0,99,49.69,18.16
"3D660C","815E",-47,-61,152,-14,0,99,49.91,18.10
"3D660C","815E",-47,-61,150,-14,0,99,49.99,18.01
