Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-49,-62,179,-10,0,99,-45.00,0.00
"3D660C","815E",-51,-64,169,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-64,194,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-64,197,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-64,189,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-64,187,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-65,172,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-65,175,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-65,169,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-65,169,-10,0,99,-45.00,0.00
"3D660C","815E",-56,-65,169,-10,0,99,-45.00,0.00
"3D660C","815E",-52,-64,167,-10,0,99,-45.00,0.00
"3D660C","815E",-52,-64,169,-10,0,99,-45.00,0.00
"3D660C","815E",-55,-65,179,-10,0,99,-45.00,0.00
"3D660C","815E",-55,-65,179,-10,0,99,-45.00,0.00
"3D660C","815E",-55,-65,169,-11,0,99,-45.00,0.00
"3D660C","815E",-55,-66,164,-11,0,99,-45.00,0.00
"3D660C","815E",-54,-66,172,-11,0,99,-45.00,0.00
"3D660C","815E",-56,-67,177,-10,0,99,-45.00,0.00
"3D660C","815E",-56,-67,177,-11,0,99,-45.00,0.00
"3D660C","815E",-56,-67,177,-11,0,99,-45.00,0.00
"3D660C","815E",-58,-68,175,-11,0,99,-45.00,0.00
"3D660C","815E",-54,-67,167,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-67,162,-10,0,99,-45.00,0.00
"3D660C","815E",-56,-66,157,-10,0,99,-45.00,0.00
"3D660C","815E",-55,-65,154,-11,0,99,-45.00,0.00
"3D660C","815E",-55,-65,154,-11,0,99,-45.00,0.00
"3D660C","815E",-55,-65,157,-11,0,99,-45.00,0.00
"3D660C","815E",-55,-66,175,-7,0,99,-45.00,0.00
"3D660C","815E",-55,-66,192,-10,0,99,-45.00,0.00
"3D660C","815E",-55,-65,194,-10,0,99,-45.00,0.00
"3D660C","815E",-53,-64,202,-10,0,99,-45.00,0.00
"3D660C","815E",-51,-63,200,-10,0,99,27.29,37.66
"3D660C","815E",-56,-66,189,-9,0,99,27.22,38.10
"3D660C","815E",-58,-67,182,-10,0,99,-45.00,0.00
"3D660C","815E",-54,-67,184,-10,0,99,-45.00,0.00
"3D660C","815E",-53,-63,200,-8,0,99,-45.00,0.00
"3D660C","815E",-53,-63,204,-10,0,99,28.86,45.96
"3D660C","815E",-53,-65,189,-8,0,99,-45.00,0.00
"3D660C","815E",-53,-64,192,-10,0,99,29.15,41.79
"3D660C","815E",-51,-63,194,-10,0,99,29.15,44.98
"3D660C","815E",-47,-61,192,-10,0,99,28.87,39.60
"3D660C","815E",-44,-58,189,-10,0,99,28.57,36.88
"3D660C","815E",-49,-56,179,-10,0,99,28.33,35.89
"3D660C","815E",-49,-57,169,-10,0,99,28.22,35.63
"3D660C","815E",-55,-60,169,-10,0,99,-45.00,0.00
"3D660C","815E",-55,-61,167,-10,0,99,-45.00,0.00
"3D660C","815E",-59,-64,164,-10,0,99,-45.00,0.00
"3D660C","815E",-59,-70,157,-11,0,99,-45.00,0.00
"3D660C","815E",-63,-71,154,-11,0,99,-45.00,0.00
"3D660C","815E",-67,-71,150,-11,0,99,-45.00,0.00
