Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660A","815E",-65,-79,65,-14,0,99,39.91,24.12
"3D660A","815E",-60,-76,80,-15,0,99,40.45,23.80
"3D660A","815E",-61,-78,95,-14,0,99,40.94,23.74
"3D660A","815E",-61,-78,97,-15,0,99,41.20,23.19
"3D660A","815E",-63,-77,100,-14,0,99,41.31,22.79
"3D660A","815E",-65,-78,80,-14,0,99,41.45,22.68
"3D660A","815E",-65,-79,96,-15,0,99,41.66,22.70
"3D660A","815E",-61,-81,85,-17,0,99,41.70,22.60
"3D660A","815E",-64,-81,65,-16,0,99,41.95,22.46
"3D660A","815E",-64,-81,85,-16,0,99,42.23,22.15
"3D660A","815E",-64,-80,90,-16,0,99,42.40,22.00
"3D660A","815E",-64,-81,90,-16,0,99,42.65,21.95
"3D660A","815E",-64,-79,95,-15,0,99,43.02,21.85
"3D660A","815E",-64,-80,80,-15,0,99,43.13,21.62
"3D660A","815E",-64,-81,85,-16,0,99,43.47,21.47
"3D660A","815E",-64,-81,80,-17,0,99,43.48,21.38
"3D660A","815E",-66,-82,80,-16,0,99,43.78,21.36
"3D660A","815E",-66,-82,70,-15,0,99,43.92,21.23
"3D660A","815E",-63,-79,90,-15,0,99,44.40,21.08
"3D660A","815E",-63,-79,95,-16,0,99,44.43,20.94
"3D660A","815E",-61,-78,95,-16,0,99,44.92,20.85
"3D660A","815E",-61,-79,90,-17,0,99,44.62,20.76
"3D660A","815E",-65,-79,96,-15,0,99,44.74,20.70
"3D660A","815E",-65,-79,99,-15,0,99,44.95,20.62
"3D660A","815E",-63,-78,98,-14,0,99,44.51,20.58
"3D660A","815E",-61,-78,95,-15,0,99,43.68,20.52
"3D660A","815E",-61,-79,85,-16,0,99,42.33,20.89
"3D660A","815E",-61,-80,80,-17,0,99,41.87,21.45
"3D660A","815E",-61,-80,80,-17,0,99,41.77,21.86
"3D660A","815E",-58,-80,85,-18,0,99,41.47,22.17
"3D660A","815E",-62,-80,80,-19,0,99,41.39,22.37
"3D660A","815E",-62,-83,65,-20,0,99,41.45,22.46
"3D660A","815E",-65,-83,60,-20,0,99,41.48,22.39
"3D660A","815E",-60,-83,55,-20,0,99,41.46,22.27
"3D660C","815E",-60,-83,55,-20,0,99,41.84,22.17
"3D660C","815E",-51,-64,162,-11,0,99,41.98,21.87
