Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-51,-62,197,-10,0,99,28.89,34.90
"3D660C","815E",-60,-70,157,-10,0,99,28.87,34.93
"3D660C","815E",-58,-70,157,-10,0,99,28.78,34.90
"3D660C","815E",-61,-71,122,-10,0,99,28.59,34.53
"3D660C","815E",-58,-71,150,-11,0,99,28.47,34.53
"3D660C","815E",-58,-70,154,-11,0,99,28.50,34.82
"3D660C","815E",-53,-67,182,-11,0,99,28.56,34.96
"3D660C","815E",-51,-65,194,-11,0,99,29.01,34.95
"3D660C","815E",-48,-62,189,-10,0,99,29.06,34.50
"3D660C","815E",-44,-55,175,-10,0,99,28.99,34.28
"3D660C","815E",-41,-54,197,-10,0,99,30.54,33.95
"3D660C","815E",-41,-53,200,-10,0,99,31.68,32.62
