Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-42,-53,194,-10,0,99,40.96,22.60
"3D660C","815E",-44,-54,189,-10,0,99,41.45,22.06
"3D660C","815E",-46,-54,192,-10,0,99,41.88,21.59
"3D660C","815E",-43,-55,182,-10,0,99,42.29,21.35
"3D660C","815E",-46,-56,179,-11,0,99,42.67,21.01
"3D660C","815E",-44,-56,164,-11,0,99,42.96,20.90
"3D660C","815E",-44,-56,167,-11,0,99,43.43,20.76
"3D660C","815E",-46,-56,175,-11,0,99,43.96,20.38
"3D660C","815E",-46,-56,177,-10,0,99,43.96,20.18
"3D660C","815E",-46,-57,189,-10,0,99,44.35,20.18
"3D660C","815E",-46,-57,192,-10,0,99,44.33,20.23
"3D660C","815E",-46,-57,187,-10,0,99,44.42,20.12
"3D660C","815E",-46,-57,175,-10,0,99,44.29,19.96
"3D660C","815E",-48,-57,175,-10,0,99,44.25,20.15
"3D660C","815E",-48,-58,177,-11,0,99,44.35,20.04
"3D660C","815E",-48,-58,179,-11,0,99,44.30,20.09
"3D660C","815E",-45,-58,172,-11,0,99,44.07,20.08
"3D660C","815E",-45,-57,169,-11,0,99,43.53,20.10
"3D660C","815E",-45,-55,167,-11,0,99,42.85,20.35
"3D660C","815E",-45,-55,167,-11,0,99,42.22,20.72
"3D660C","815E",-45,-55,172,-11,0,99,41.24,21.26
"3D660C","815E",-42,-55,169,-11,0,99,40.69,21.68
"3D660C","815E",-42,-54,175,-10,0,99,40.10,22.23
"3D660C","815E",-42,-53,177,-10,0,99,39.83,22.64
"3D660C","815E",-47,-54,182,-10,0,99,39.57,22.84
"3D660C","815E",-43,-54,189,-10,0,99,39.62,23.03
"3D660C","815E",-43,-55,192,-10,0,99,39.93,22.92
"3D660C","815E",-43,-54,179,-10,0,99,40.15,22.64
"3D660C","815E",-43,-54,169,-11,0,99,40.62,22.46
"3D660C","815E",-43,-55,162,-11,0,99,41.10,22.05
"3D660C","815E",-43,-54,164,-11,0,99,41.43,21.94
"3D660C","815E",-43,-54,175,-10,0,99,41.46,21.72
"3D660C","815E",-41,-53,192,-11,0,99,41.73,21.70
"3D660C","815E",-43,-54,189,-11,0,99,41.76,21.65
"3D660C","815E",-43,-54,189,-11,0,99,42.12,21.63
"3D660C","815E",-47,-54,184,-11,0,99,41.41,21.54
"3D660C","815E",-45,-55,189,-10,0,99,41.43,21.82
"3D660C","815E",-45,-57,194,-10,0,99,41.87,21.70
"3D660C","815E",-43,-55,182,-10,0,99,41.09,21.63
"3D660C","815E",-46,-55,179,-10,0,99,40.26,22.07
"3D660C","815E",-44,-55,172,-10,0,99,40.14,22.40
"3D660C","815E",-44,-55,177,-10,0,99,40.02,22.59
"3D660C","815E",-44,-55,189,-10,0,99,39.94,22.88
"3D660C","815E",-44,-55,184,-10,0,99,40.17,22.86
"3D660C","815E",-44,-55,184,-10,0,99,40.67,22.41
"3D660C","815E",-44,-55,184,-10,0,99,40.80,22.28
"3D660C","815E",-44,-55,184,-10,0,99,40.95,22.05
"3D660C","815E",-44,-55,182,-10,0,99,41.06,21.95
"3D660C","815E",-44,-56,192,-10,0,99,41.07,21.85
"3D660C","815E",-44,-55,189,-10,0,99,41.40,21.84
"3D660C","815E",-44,-55,189,-10,0,99,41.74,21.61
"3D660C","815E",-44,-55,182,-10,0,99,41.31,21.52
"3D660C","815E",-46,-55,179,-10,0,99,41.23,21.57
"3D660C","815E",-46,-56,172,-10,0,99,40.86,21.83
"3D660C","815E",-46,-56,175,-11,0,99,40.92,22.11
"3D660C","815E",-46,-56,172,-10,0,99,40.92,22.35
"3D660C","815E",-46,-56,172,-10,0,99,41.08,22.39
"3D660C","815E",-46,-58,164,-10,0,99,41.02,22.32
"3D660C","815E",-43,-57,159,-11,0,99,40.88,22.39
"3D660C","815E",-45,-56,167,-11,0,99,40.47,22.51
"3D660C","815E",-45,-56,169,-11,0,99,40.31,22.46
"3D660C","815E",-45,-56,169,-11,0,99,40.03,22.54
"3D660C","815E",-43,-55,167,-11,0,99,40.26,22.66
"3D660C","815E",-46,-56,167,-11,0,99,39.83,22.77
"3D660C","815E",-43,-54,175,-11,0,99,39.25,22.94
"3D660C","815E",-43,-54,172,-10,0,99,39.22,23.28
"3D660C","815E",-43,-54,172,-10,0,99,39.21,23.46
"3D660C","815E",-43,-54,167,-10,0,99,39.46,23.38
"3D660C","815E",-43,-54,167,-10,0,99,39.74,23.40
"3D660C","815E",-43,-53,169,-10,0,99,39.86,23.42
"3D660C","815E",-43,-53,169,-10,0,99,40.23,23.10
"3D660C","815E",-43,-53,177,-10,0,99,40.90,22.59
"3D660C","815E",-45,-53,197,-10,0,99,41.38,22.08
"3D660C","815E",-45,-53,197,-10,0,99,41.75,21.87
"3D660C","815E",-44,-55,197,-10,0,99,41.90,21.46
"3D660C","815E",-44,-55,197,-10,0,99,41.49,21.64
"3D660C","815E",-44,-54,200,-10,0,99,41.86,21.73
"3D660C","815E",-44,-54,200,-10,0,99,42.32,21.71
"3D660C","815E",-47,-55,192,-10,0,99,42.84,21.60
"3D660C","815E",-45,-56,184,-10,0,99,42.95,21.71
"3D660C","815E",-48,-57,167,-11,0,99,42.76,21.65
"3D660C","815E",-45,-57,159,-11,0,99,42.76,21.89
"3D660C","815E",-45,-57,159,-11,0,99,43.00,22.34
"3D660C","815E",-45,-56,162,-11,0,99,43.30,22.10
"3D660C","815E",-45,-56,167,-11,0,99,43.41,21.77
"3D660C","815E",-45,-56,172,-11,0,99,43.66,21.60
