Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-44,-58,197,-10,0,99,48.74,18.53
"3D660C","815E",-48,-60,200,-10,0,99,48.37,18.63
"3D660C","815E",-50,-60,202,-10,0,99,48.56,18.84
"3D660C","815E",-48,-58,175,-9,0,99,48.34,18.76
"3D660C","815E",-48,-58,192,-9,0,99,46.87,18.69
"3D660C","815E",-48,-59,189,-10,0,99,45.94,19.18
"3D660C","815E",-48,-59,179,-10,0,99,45.78,19.58
"3D660C","815E",-48,-59,194,-10,0,99,45.87,19.66
"3D660C","815E",-48,-59,197,-10,0,99,45.95,19.64
"3D660C","815E",-48,-60,175,-10,0,99,46.47,19.63
"3D660C","815E",-48,-60,200,-10,0,99,46.78,19.42
"3D660C","815E",-46,-58,204,-10,0,99,46.96,19.33
"3D660C","815E",-46,-58,200,-10,0,99,47.10,19.24
"3D660C","815E",-49,-59,197,-10,0,99,47.38,19.13
"3D660C","815E",-49,-59,200,-10,0,99,47.43,19.20
"3D660C","815E",-49,-59,200,-10,0,99,47.76,19.22
"3D660C","815E",-49,-59,189,-10,0,99,48.08,19.16
"3D660C","815E",-49,-60,177,-10,0,99,48.18,18.97
"3D660C","815E",-49,-59,169,-11,0,99,48.46,18.92
"3D660C","815E",-47,-58,162,-11,0,99,48.51,18.76
"3D660C","815E",-47,-57,169,-11,0,99,48.74,18.77
"3D660C","815E",-47,-57,175,-11,0,99,48.15,18.63
"3D660C","815E",-47,-58,179,-11,0,99,48.37,18.70
"3D660C","815E",-47,-58,194,-10,0,99,48.48,18.73
"3D660C","815E",-47,-57,204,-10,0,99,48.77,18.57
"3D660C","815E",-47,-57,194,-10,0,99,48.91,18.35
"3D660C","815E",-47,-57,184,-10,0,99,48.93,18.39
"3D660C","815E",-47,-57,177,-10,0,99,48.91,18.43
"3D660C","815E",-45,-57,175,-11,0,99,49.11,18.33
"3D660C","815E",-49,-59,169,-11,0,99,49.25,18.31
"3D660C","815E",-47,-60,187,-11,0,99,49.47,18.15
"3D660C","815E",-47,-59,194,-10,0,99,49.43,18.05
"3D660C","815E",-47,-58,189,-10,0,99,48.98,18.14
"3D660C","815E",-47,-58,192,-10,0,99,48.33,18.20
"3D660C","815E",-47,-59,189,-10,0,99,47.79,18.53
"3D660C","815E",-47,-59,192,-10,0,99,47.41,18.63
"3D660C","815E",-47,-59,192,-10,0,99,47.11,18.82
"3D660C","815E",-47,-57,197,-10,0,99,46.99,18.97
"3D660C","815E",-45,-57,192,-10,0,99,46.83,18.98
"3D660C","815E",-45,-57,192,-10,0,99,46.91,19.11
"3D660C","815E",-47,-56,184,-11,0,99,47.01,19.03
"3D660C","815E",-47,-57,182,-11,0,99,46.56,18.98
"3D660C","815E",-47,-57,177,-10,0,99,46.64,19.10
"3D660C","815E",-47,-58,172,-10,0,99,46.22,19.01
"3D660C","815E",-45,-57,164,-11,0,99,45.70,19.33
"3D660C","815E",-45,-57,164,-11,0,99,45.67,19.45
"3D660C","815E",-47,-57,169,-10,0,99,45.84,19.50
"3D660C","815E",-47,-57,169,-10,0,99,46.04,19.38
"3D660C","815E",-47,-57,177,-10,0,99,46.25,19.32
"3D660C","815E",-47,-57,177,-10,0,99,46.81,19.14
"3D660C","815E",-45,-57,197,-10,0,99,47.40,18.89
"3D660C","815E",-45,-56,187,-10,0,99,47.78,18.69
"3D660C","815E",-45,-55,182,-10,0,99,47.78,18.50
"3D660C","815E",-45,-55,187,-11,0,99,46.98,18.70
"3D660C","815E",-47,-56,182,-11,0,99,46.10,19.14
"3D660C","815E",-47,-57,177,-11,0,99,45.27,19.39
"3D660C","815E",-47,-57,172,-11,0,99,44.84,19.77
"3D660C","815E",-47,-57,172,-11,0,99,45.07,19.81
"3D660C","815E",-47,-58,169,-10,0,99,45.16,19.73
"3D660C","815E",-47,-58,167,-10,0,99,45.44,19.55
"3D660C","815E",-47,-58,172,-11,0,99,45.10,19.82
"3D660C","815E",-47,-58,172,-11,0,99,44.91,19.73
"3D660C","815E",-47,-58,175,-11,0,99,44.97,19.74
"3D660C","815E",-47,-58,169,-11,0,99,44.78,19.77
"3D660C","815E",-47,-58,172,-10,0,99,45.07,19.78
"3D660C","815E",-47,-58,179,-10,0,99,45.14,19.65
"3D660C","815E",-47,-58,184,-10,0,99,44.61,19.63
"3D660C","815E",-47,-57,197,-10,0,99,44.68,19.75
"3D660C","815E",-47,-57,194,-10,0,99,44.77,19.74
"3D660C","815E",-47,-57,194,-10,0,99,44.95,19.67
"3D660C","815E",-47,-58,189,-10,0,99,45.16,19.62
"3D660C","815E",-47,-58,187,-10,0,99,44.88,19.46
"3D660C","815E",-47,-57,200,-10,0,99,44.90,19.67
"3D660C","815E",-47,-57,200,-10,0,99,45.10,19.60
"3D660C","815E",-47,-57,194,-10,0,99,45.08,19.56
"3D660C","815E",-47,-58,200,-10,0,99,44.78,19.55
"3D660C","815E",-45,-57,200,-10,0,99,44.85,19.55
"3D660C","815E",-50,-58,197,-10,0,99,44.75,19.50
"3D660C","815E",-50,-58,189,-10,0,99,44.89,19.71
"3D660C","815E",-46,-58,184,-11,0,99,44.85,19.66
"3D660C","815E",-46,-58,177,-11,0,99,45.47,19.43
"3D660C","815E",-46,-58,175,-11,0,99,45.92,19.28
"3D660C","815E",-49,-58,167,-11,0,99,45.48,19.12
"3D660C","815E",-50,-59,167,-11,0,99,45.90,19.24
"3D660C","815E",-46,-58,169,-11,0,99,45.94,19.18
"3D660C","815E",-48,-58,177,-11,0,99,45.95,19.10
"3D660C","815E",-48,-58,182,-10,0,99,46.25,19.09
"3D660C","815E",-48,-58,182,-10,0,99,46.54,18.96
"3D660C","815E",-48,-58,187,-10,0,99,46.92,18.93
"3D660C","815E",-46,-58,184,-11,0,99,47.05,18.86
"3D660C","815E",-46,-58,182,-11,0,99,46.99,18.87
"3D660C","815E",-46,-58,179,-11,0,99,46.58,18.76
"3D660C","815E",-46,-57,177,-10,0,99,45.97,19.05
"3D660C","815E",-46,-57,175,-11,0,99,45.70,19.47
"3D660C","815E",-46,-57,167,-11,0,99,45.76,19.47
"3D660C","815E",-46,-57,164,-11,0,99,45.94,19.41
"3D660C","815E",-46,-57,162,-10,0,99,45.63,19.36
"3D660C","815E",-51,-58,162,-10,0,99,45.32,19.52
"3D660C","815E",-47,-59,164,-11,0,99,44.93,19.79
"3D660C","815E",-47,-57,162,-10,0,99,45.24,19.87
"3D660C","815E",-47,-57,164,-10,0,99,45.48,19.75
